battle_slug,side,casualties_low,casualties_high,confidence,source_slug
battle_of_berlin_b,Soviet Union,361367,361367,medium,
battle_of_bezzecca_b,Kingdom of Italy,1070,1070,medium,
battle_of_bharatpur_b,United Kingdom,3292,3292,medium,
battle_of_biaoeka_b,Imperial Russia,1070,1070,medium,
battle_of_biaystok_minsk_b,Germany,12157,12157,medium,
battle_of_biaystok_minsk_b,Soviet Union,397000,397000,medium,
battle_of_biberach_b,Habsburg Austria,4000,4000,medium,
battle_of_big_black_river_bridge_b,Confederate States,1751,1751,medium,
battle_of_bilbao_b,Spanish Republic,14000,14000,medium,
battle_of_bin_jawad_b,Conseil national de transition,120,200,medium,
battle_of_binakayan_dalahican_b,Katipunan,3000,3000,medium,
battle_of_binakayan_dalahican_b,Spanish Empire,8000,8000,medium,
battle_of_bir_anzarane_b,Maroc,100,250,medium,
battle_of_bir_anzarane_b,RASD,117,500,medium,
battle_of_bir_tabraz_b,Италия,150,250,medium,
battle_of_bitlis_b,Ottoman Empire,34000,34000,medium,
battle_of_bizani_b,Ottoman Empire,2800,2800,medium,
battle_of_bladensburg_b,Великобритания,100,185,medium,
battle_of_blood_river_poort_b,Empire britannique,241,241,medium,
battle_of_blumenau_b,Empire d'Autriche,489,489,medium,
battle_of_blumenau_b,Royaume de Prusse,207,207,medium,
battle_of_boffalora_b,Francia,100,200,medium,
battle_of_bolimow_b,German Empire,4631,4631,medium,
battle_of_bolimow_b,Russian Empire,17385,17385,medium,
battle_of_bomarsund_b,Russia,2000,2000,medium,
battle_of_bombona_b,Empire espagnol,250,250,medium,
battle_of_bombona_b,Grande Colombie,115,343,medium,
battle_of_boqueron_1932_b,Bolivia,2200,2200,medium,
battle_of_boqueron_1932_b,Paraguay,1500,1500,medium,
battle_of_boqueron_b,Empire of Brazil,1954,1954,medium,
battle_of_boqueron_b,Paraguay,2000,2000,medium,
battle_of_borghetto_b,République française,500,500,medium,
battle_of_borghetto_b,Saint-Empire,300,300,medium,
battle_of_bornos_1812_b,Kingdom of Spain,1500,1500,medium,
battle_of_bornos_b,Empire français,100,800,medium,
battle_of_borny_colombey_b,French Empire,3608,3915,medium,
battle_of_borny_colombey_b,North German Confederation,4906,5222,medium,
battle_of_borodino_b,France,30000,42000,medium,
battle_of_borodino_b,Russia,40000,53000,medium,
battle_of_borodzianka_b,Polska,260,260,medium,
battle_of_bothaville_b,Etat libre d'Orange,100,100,medium,
battle_of_bougafer_b,Ait Atta,327,327,medium,
battle_of_bougafer_b,France,1500,1800,medium,
battle_of_bouin_b,Vendéens,200,500,medium,
battle_of_boulikessi_b,Mali,100,100,medium,
battle_of_boulou_b,Spain,2000,2000,medium,
battle_of_bound_brook_b,États-Unis,120,120,medium,
battle_of_bov_b,Duchy of Schleswig,1096,1096,medium,
battle_of_boyaca_b,Kingdom of Spain,1600,1600,medium,
battle_of_braga_b,Portugal,4400,4400,medium,
battle_of_brandy_station_b,United States,1007,1007,medium,
battle_of_brandywine_b,États-Unis,250,750,medium,
battle_of_brandywine_b,Royaume de Grande-Bretagne,487,487,medium,
battle_of_bregalnica_b,Bulgaria,20000,20000,medium,
battle_of_bregalnica_b,Serbia,16620,16620,medium,
battle_of_brest_1792_b,Речь Посполитая,356,356,medium,
battle_of_britain_b,Germany,2585,2585,medium,
battle_of_britain_b,United Kingdom,1542,1542,medium,
battle_of_brody_b,Reich allemand,200,200,medium,
battle_of_brody_b,Union soviétique,800,800,medium,
battle_of_brunete_b,Nationalist Spain,7000,7000,medium,
battle_of_brunete_b,Spanish Republic,10000,25000,medium,
battle_of_bryansk_b,Germany,48000,48000,medium,
battle_of_bryansk_b,Soviet Union,100000,100000,medium,
battle_of_brzesc_litewski_b,Poland,1000,1000,medium,
battle_of_buceo_b,Espagne,500,500,medium,
battle_of_buena_vista_b,Mexico,1048,1048,medium,
battle_of_bulair_b,Ottoman Empire,6000,6000,medium,
battle_of_bunker_hill_b,Royaume de Grande-Bretagne,228,828,medium,
battle_of_bunker_hill_b,Treize colonies,140,271,medium,
battle_of_burgos_b,Spain,3400,3400,medium,
battle_of_burkersdorf_b,Austrian Empire,3819,3819,medium,
battle_of_bussaco_b,France,2456,4500,medium,
battle_of_bussaco_b,United Kingdom,1252,1356,medium,
battle_of_cabezon_b,Spain,1000,1000,medium,
battle_of_cacabelos_b,Empire français,190,190,medium,
battle_of_cacabelos_b,Royaume-Uni,120,120,medium,
battle_of_cachiri_b,New Granada,1200,1200,medium,
